z       fgas    sigma_fgas
0.078   0.131   0.003
0.088   0.128   0.008
0.103   0.119   0.004
0.103   0.125   0.009
0.152   0.131   0.008
0.208   0.111   0.015
0.214   0.109   0.006
0.215   0.108   0.007
0.235   0.140   0.016
0.235   0.127   0.012 
0.236   0.130   0.010
0.252   0.120   0.007
0.253   0.142   0.013
0.313   0.137   0.011
0.314   0.125   0.028
0.318   0.131   0.024
0.324   0.133   0.016
0.345   0.104   0.011
0.352   0.112   0.011
0.355   0.145   0.017
0.363   0.152   0.021
0.363   0.108   0.006
0.378   0.138   0.022
0.391   0.132   0.016
0.399   0.094   0.020
0.404   0.108   0.014
0.423   0.166   0.023
0.442   0.096   0.012
0.447   0.095   0.020
0.451   0.115   0.013 
0.460   0.115   0.021
0.461   0.121   0.020
0.487   0.144   0.017
0.539   0.143   0.012
0.576   0.121   0.019
0.596   0.157   0.025
0.702   0.081   0.023
0.723   0.156   0.017
1.028   0.117   0.015
1.063   0.117   0.019
